PWSID,FacilityID,SamplePointID,HAA.Group,BCAA,BDCAA,DBCAA,DBAA,DCAA,MBAA,MCAA,TBAA,TCAA
PR0004705,1004,47051004,HAA6Br,9.883333333,16.86333333,5.163333333,3.183333333,14.95333333,0.543333333,0,0,11.64666667
PR0004745,1001,47450001,HAA6Br,7.0725,18.8725,3.0275,1.6775,14.36,0.0875,0.5825,0.6325,20.205
PR0004815,9022,48159022,HAA6Br,6.6275,14.89,2.22,1.265,13.1225,0.2075,0,0,18.2
PR0004835,9137,48359137,HAA6Br,5.823333333,17.75333333,2.876666667,1.03,14.09,0.176666667,0,0,19.68
PR0004885,9004,48859004,HAA6Br,2.48,2.59,2.43,2.965,1.495,0,0,3.95,0
PR0004895,9075,48959075,HAA6Br,1.19,0.57,0.95,1.67,0.56,0,0,0,0
PR0004915,99,49159034,HAA6Br,0.34,3.24,0.31,1.05,0.57,0,0,0,0
PR0005046,406,50460406,HAA6Br,9.485,19.11,2.955,2.055,18.01,0.32,0,0,23.24
PR0005066,9020,50669020,HAA6Br,5.3925,12.435,3.25,1.6775,7.1125,0.1525,0,0,7.2725
PR0005086,9094,50869094,HAA6Br,6.3075,14.94,1.715,1.07,12.4375,0,0,0,17.42
PR0005096,9177,50969177,HAA6Br,8.64,11.38666667,7.76,1.696666667,16.77666667,0.233333333,0.69,0.82,11.54666667
PR0005106,1003,51060003,HAA6Br,5.5175,10.6575,1.045,0.6925,16.4225,0.0775,0,0,20.05
PR0005166,1010,51660010,HAA6Br,4.335,11.7125,3.87,0.74,7.6425,0.2025,0,0,20.865
PR0005296,9008,52969008,HAA6Br,4.6725,8.525,2.045,1.5675,7.2025,0.12,0,0,6.415
PR0005306,9018,53069018,HAA6Br,5.9325,6.6125,2.8575,1.2875,7.6175,0.075,0,0.86,5.5675
PR0005376,93,53760093,HAA6Br,5.9625,14.9325,1.925,1.0125,17.7575,0.1975,0,0,21.8575
PR0005386,9218,53869218,HAA6Br,5.326666667,10.40333333,4.65,0.426666667,24.72333333,0.11,0,0,26.89333333
PR0005487,9019,54879019,HAA6Br,6.8075,16.885,3.54,1.9675,9.64,0.105,0,0,12.2875
PR0005537,9105,55379105,HAA6Br,8.16,19.025,4.5025,2.3675,11.0675,0.425,0,0,13.4125
PR0005587,9047,55879047,HAA6Br,5.6425,13.385,1.365,0.74,18.775,0.0825,0.585,0,25.2025
PR0005597,9142,55979142,HAA6Br,6.8575,12.9625,1.25,0.5775,15.025,0.105,0,0,15.1375
PR0005607,9004,56079004,HAA6Br,7.76,14.4625,1.84,0.7875,19.28,0.1825,0,0,29.2725
PR0644086,30001,DS1,HAA6Br,0.15,0,0,0,0,0,0,0,0
PR0666136,30001,DS1,HAA6Br,0,0,0,0,0,0,0,0,0
RI1559511,30001,DBPR1,HAA6Br,1.725,0.425,0.2,0.1,11.6,0,0,0,1.925
RI1559512,30001,DBPR1,HAA6Br,2.22,2.11,1.0725,1.775,2.455,0.324,5.8,0,1.365
RI1559517,30001,DBPR1,HAA6Br,0.53,0,0.175,1.2,0.16,0,0,0,0
RI1559518,30001,DBPR4,HAA6Br,2.87,5.3025,1.08775,0.59425,6.3475,0.565,4.4475,0,13.1375
RI1592010,30001,DBPR2,HAA6Br,5.75,2.55,2.35,4.4,6.55,0.815,0,0,2.15
RI1592021,30001,DBPR5,HAA6Br,2.725,4.075,1.175,0.9,4.4,0,0,0,5.7
RI1592022,30001,DBPR4,HAA6Br,7.7775,3.085,2.1825,4.665,12,1.419,9.635,0.695,3.3525
RI1592024,30001,DBPR4,HAA6Br,2.41,0,0,0.1065,17.4,0,1.2175,0,1.515
RI1615610,30001,DBPR1,HAA6Br,2.2625,0.12525,0,0.1165,20.125,0.1285,0,0,1.655
RI1615616,30001,DS2,HAA6Br,2.27875,0,0,0,16.5355,0,0,0,1.5295
RI1615624,30001,DBPR1,HAA6Br,2.135,3.115,0.447,0.3355,7.333,0,0,0,14.325
RI1615627,30001,DBPR1,HAA6Br,1.575,0,0.1,0,16.075,0,0.65,0,1.5
RI1647515,30001,DBPR2,HAA6Br,2.225,0,0,0.26,16.85,0,0,0,1.925
RI1647530,30001,DBPR3,HAA6Br,1.94,2.74,0.41375,0.44175,8.695,0.9075,7.4675,0,14.9
RI1858422,50000,SWANHALL,HAA6Br,0.1715,0,0,1.405,0,0.1785,1.455,0,0
RI1858423,30001,DBPR2,HAA6Br,1.8875,0,0,0,16.475,0.305,0.605,0,1.335
RI1858428,30001,DS1,HAA6Br,0.326,0.4945,0,0,1.3675,0,0,0,2.5775
SC0120001,30001,DBP21,HAA6Br,1.975,3.025,0.3775,0,8.525,0,0,0,12.75
SC0210001,2101,DBP11,HAA6Br,2.7775,3.6875,0.5015,0.186,13.5025,0,0,0,17.55
SC0210003,99001,DBP21,HAA6Br,3.405,2.2325,0.19425,0.1795,19.175,0.1605,2.56,0,15.3575
SC0220004,30001,DBP20,HAA6Br,0,0,0,0,0,0,0,0,0
SC0220006,99001,DBP23,HAA6Br,4,1.7375,0.254,0.25225,21.3,0.19575,2.05,0,7.3025
SC0220008,30001,DBP20,HAA6Br,0.164,0,0,0,0.619,0,0,0,0
SC0410004,30001,DBP20,HAA6Br,1.55,2.525,0.29,0,8,0,0,0,18.25
SC0410012,4002,DBP20,HAA6Br,1.292,1.25475,0.16825,0.099,6.98,0.075,0,0,4.235
SC0420002,99001,704001202,HAA6Br,2.1975,2.4025,0.312,0,11.3075,0,0,0,11.7575
SC0420003,99001,DBP22,HAA6Br,2.3825,1.78,0.07575,0.10925,15.1225,0,0,0,10.6225
SC0420006,13,DBP21,HAA6Br,2.3025,1.7575,0.335,0.301,10.885,0.0835,0,0,6.86
SC0420007,99001,DBP21,HAA6Br,1.5925,1.41,0.3635,0,10.0075,0,0.7925,0,5.94
SC0420009,99001,DBP20,HAA6Br,1.695,1.5975,0.33775,0,9.955,0,0.6525,0,6.97
SC0720001,99999,DBP20,HAA6Br,2.765,1.96,5.395,7.01,1.032,0.8665,0,7.375,1.028
SC0720003,7000,DBP8,HAA6Br,3.9225,3.4475,0.38425,0.42325,19.075,0,1.55,0,19.94
SC0720006,99999,DBP4A,HAA6Br,1.325,0.90625,0,0.376,5.295,0,0,0,4.4725
SC0810004,99001,DBP22,HAA6Br,2.4225,2.245,0.3915,0.18525,8.0725,0,0,0,5.0575
SC0820002,99001,DBP22,HAA6Br,2.3975,1.7335,0.362,0.13375,8.4125,0,0,0,5.0975
SC0820009,99001,DBP23,HAA6Br,3.4125,1.9825,0.371,0.68375,10.3,0.0785,0,0,4.96
SC1010001,99001,DBP20,HAA6Br,4.105,1.2115,0.41225,0.9715,10.7525,0,0,0,1.62
SC1010002,99001,DBP24,HAA6Br,3.85,1.12575,0.4435,0.95475,10.15,0,0,0.71,1.355
SC1020002,60000,DBP21,HAA6Br,5.14,1.302,0.53925,1.8185,8.93,0.0955,0,0,1.2965
SC1110001,99001,DBP21,HAA6Br,2.0325,3.0925,0.34775,0,14.675,0.076,1.2725,0,21.9
SC1220002,12002,12005,HAA6Br,3.645,1.8075,0.25125,0.38775,13.425,0,0,0,5.835
SC1320003,99001,DBP20,HAA6Br,0.363,0,0,0.168,0,0,0,0,0
SC1510004,99001,DBP22,HAA6Br,0.2385,0,0,0.207,0.381,0,0,0,0.268
SC1620001,99001,DBP1,HAA6Br,0.1675,0,0,0,0.2585,0,0,0,0
SC1720001,70001,DS0001,HAA6Br,1.0805,0.7995,0.233,0.3745,1.75,0,0,0,1.255
SC1810001,30001,DBP20,HAA6Br,0,0,0,0,0.246,0,0,0,0
SC1810003,99001,DBP23,HAA6Br,3.2125,2.035,0.3365,0.33825,10.97,0,0,0,5.8525
SC1820001,99002,DBP21,HAA6Br,2.5875,1.6875,0.20825,0.24325,9.68,0,0,0,5.315
SC1820008,99001,DBP22,HAA6Br,4.04,1.14975,0.54825,1.0445,10.295,0,0.5975,0,1.48
SC1920001,99001,610006104,HAA6Br,2.6075,2.365,0.075,0,18.225,0,0.6675,0,19.7
SC2030004,30001,DBP21,HAA6Br,3.5,0.25,0.9325,4.525,3.5,2.5675,0.975,0.85,0.1325
SC2110001,99001,DBP22,HAA6Br,1.89,2.565,0.5275,0.1075,8.075,0,0,0,10.2275
SC2110007,30001,DBP20,HAA6Br,1.3925,0,0,0.48,2.1535,0,0,0,0.862
SC2220010,99001,DBP22,HAA6Br,2.9625,4.0425,0.509,0.11025,11.9175,0,0,0,16.125
SC2310001,99001,DBP25,HAA6Br,1.2525,0.6235,0,0,6.06,0,0,0,2.71
SC2310005,231,DBP20,HAA6Br,2.0075,1.25,0,0,15.475,0,0,0,8.2525
SC2320003,99999,DBP23,HAA6Br,1.72,1.204,0,0,16.34,0,0.7075,0,9.34
SC2410001,24003,A240033,HAA6Br,2.7225,0.98,0.11775,0.184,13.4725,0,0,0,3.335
SC2510006,30001,DBP20,HAA6Br,0.3465,0,0,0.1595,0.699,0,0,0,0.2905
SC2610001,99001,DBP2,HAA6Br,4.07,1.825,0.367,0.6125,15.25,0.1545,2.5425,0,4.7475
SC2610008,3,DS3,HAA6Br,2.1275,1.8425,0.11125,0.14925,12.55,0,0,0,7.1725
SC2610011,26003,DBP21,HAA6Br,4.61,2.235,0.654,1.4825,11.5425,0.19775,0,0,4.22
SC2620001,2,DS4,HAA6Br,3.23,1.705,0,0.077,23.575,0,0.56,0,13.5725
SC2620002,99001,DBP22,HAA6Br,2.34,1.45175,0.152,0,18.325,0,0.7975,0,12.4625
SC2620003,99001,DBP1,HAA6Br,3.905,6.965,3.25,6.75,2.23,0.7755,0,5.745,1.875
SC2620004,99999,DBP02,HAA6Br,2.315,1.84575,0.2855,0,18.525,0,0,0,13
SC2810001,99999,DBP21,HAA6Br,2.775,2.8375,0.73475,0.24825,11.0225,0.14425,0,0,6.9725
SC2820001,17071,17073,HAA6Br,4.4725,2.8875,0.49175,0.315,20.8,0.24175,0.745,0,14.65
SC2820005,99001,DBP2,HAA6Br,0.269,0.16875,0,0,0.608,0,0,0,0.1945
SC2910001,29101,DBP22,HAA6Br,2.2225,2.16,0.32375,0.0795,10.3325,0,0,0,9.535
SC2920001,99999,DBP20,HAA6Br,3.2175,2.16,0.5115,0.35575,12.975,0,0,0,8.185
SC3010001,99001,DBP21,HAA6Br,1.9725,3.515,0.38825,0,10.6025,0,0,0,17.075
SC3020001,99001,DBP21,HAA6Br,3.95,4.245,0.60675,0.2615,16.25,0,0.7675,0,17.475
SC3210001,32101,3515982,HAA6Br,1.86,1.2035,0.0945,0,12.9875,0,0,0,7.5625
SC3210003,99001,DBP21,HAA6Br,1.9475,3.8125,0.179,0,16.475,0,0,0,33.175
SC3210004,90909,DS2,HAA6Br,2.1675,1.485,0.167,0.084,9.89,0,0,0,5.0675
SC3220003,99001,99001C,HAA6Br,2.1825,1.32625,0.28175,0,14.3225,0,0.5225,0,7.915
SC3320001,99999,HAA1,HAA6Br,3.765,1.565,2.99,6.56,2.075,0.6915,0,4.665,1.135
SC3610001,99001,DBP22,HAA6Br,3.0075,3.765,0.39325,0,18.65,0,1.48,0,19.125
SC3710002,99001,DBP22,HAA6Br,1.8825,1.32,0,0.07575,12.46,0,0.5075,0,8.92
SC3710004,99001,DBP20,HAA6Br,1.59625,2.2585,0.0955,0,17.675,0,2.8325,0,23.05
SC3720001,99001,DBP22,HAA6Br,1.13625,1.465,0,0,6.8675,0,0.6125,0,8.015
SC3810001,99001,DBP3,HAA6Br,1.7175,0.45975,0,0,41.725,0,4.7975,0,12.0375
SC3810011,30001,DBP20,HAA6Br,2.8,0.18,0,0.46,7.475,0,1.5,0,4.0025
SC3910001,99999,DBP20,HAA6Br,1.03975,1.55,0,0,12.4275,0,0,0,24.35
SC3910002,99001,DBP3,HAA6Br,2.2975,2.39575,0.35075,0,12.795,0,0.7275,0,12.1325
SC3910004,99999,DBP20,HAA6Br,1.775,1.485,0.1815,0.18375,9.5075,0.0835,0,0,4.91
SC3920002,99001,DBP22,HAA6Br,1.20425,0.653,0.08375,0,6.36,0,0,0,2.8675
SC4010001,99002,DBP21,HAA6Br,5.1075,2.3425,0.5585,0.47,26.3,0.11425,0.81,0,9.5325
SC4010501,99001,DBP23,HAA6Br,5.32,2.4875,0.4595,0.78175,26.55,0.23,1.3225,0,8.8025
SC4210001,99001,DBP20,HAA6Br,2.2725,2.3925,0.096,0,13.265,0,1.3575,0,13.525
SC4210003,30001,DBP20,HAA6Br,2.025,1.9,0,0,11.1,0,0,0,14.45
SC4220002,99001,DBP20,HAA6Br,1.685,1.71,0.0925,0,16.21,0,0,0,17.365
SC4220006,29365,DBP1,HAA6Br,2.175,3.2225,0.44125,0.08325,12.4075,0,0.6875,0,16.175
SC4220007,15615,DBP22,HAA6Br,3.4325,5,0.899,0.36975,13.8375,0.149,0.5875,0,16.825
SC4220010,99001,DBP22,HAA6Br,1.71375,2.4325,0.2425,0,9.745,0,0,0,12.05
SC4310001,99001,DBP20,HAA6Br,0.21,0,0,0,0.7805,0,0,0,0
SC4320003,99001,DBP2,HAA6Br,0,0,0,0,0,0,0,0,0
SC4410001,44002,DBP3,HAA6Br,3.725,2.7575,0.4425,0.2625,13.34,0,0,0,10.32
SC4610002,46002,DBP1,HAA6Br,3.4625,3.3575,0.83,0.55875,11.205,0.0825,0.5225,0.5425,7.4225
SC4610003,90001,605001502,HAA6Br,3.2625,1.9725,0.67325,0.65475,8.32,0.075,0,0,4.3275
SC4620002,99001,DPP20,HAA6Br,3.5425,1.77,0.59675,0.6415,8.6975,0.225,0,0,4.075
SD4600020,90001,002009D,HAA6Br,5.19775,0.71825,0.4015,1.71175,12.86525,0.88125,0.5505,0,1.652
SD4600071,81478,CLOTHESLINE,HAA6Br,6.645,4.91,2.215,2.945,10.07,0.4475,0,0,4.645
SD4600169,90001,016911A,HAA6Br,3.2125,1.936,0.112,0.165,17.325,0,0.55,0,12.55
SD4600214,8,DBP02,HAA6Br,5.54025,1.69025,1.0225,1.7125,17.168125,0.61575,0,0,3.91375
SD4600242,90001,024211A,HAA6Br,2.05,0.49,0.295,2,1.4,0,0,0,0.46
SD4600294,99001,2949908,HAA6Br,5.175,3.975,2.45,2.425,6.65,2.525,0,0,3.675
SD4600311,90001,031109C,HAA6Br,0.185,0,0,0,0.2515,0,0,0,0
SD4600342,90001,034206B,HAA6Br,0.635,1.6,0.58,1.965,1.13,0,0,2,0
SD4600356,90001,035612B,HAA6Br,6.9425,5.5785,2.4625,3.6465,10.00725,0.853,0,0,4.041
SD4600406,90001,040604E,HAA6Br,1.7775,1.142,0.57225,0.866,1.98,0,0,0,0.803
SD4600423,90001,042304A,HAA6Br,4.975,2.375,1.25,2.175,14.2,0.37,0,0,2.85
SD4600429,30001,DS1,HAA6Br,3.9,1.145,0.66,1.7,4.5,0,0,0,1.5
SD4600433,30001,DS3,HAA6Br,5.375,4.725,0.7875,0.675,15.7,0.23,1.6,0,15.175
SD4600501,30001,DS1,HAA6Br,4.275,0.48,0,0.965,8.8,0.4,0,0,1.45
SD4600520,30001,DS1,HAA6Br,0.675,0,0.175,0.545,0.135,0,0,0,0
SD4600865,21465,DS2,HAA6Br,5.24025,2.76375,1.038,1.12675,17.93975,0.197,0.58175,0,5.09025
SD4601089,35,DS1,HAA6Br,3.61825,0.61425,0.44875,0.41325,15.16475,0,1.17225,0,1.84
SD4602175,6,DS004,HAA6Br,4.5265,2.83875,0.6925,0.3865,24.16325,0.14375,0.67575,0,13.12925
SD4602303,30001,DS1,HAA6Br,0.725,0.735,0.475,0.175,0.79,0,0,0,0
TN0000007,99001,204,HAA6Br,1.3825,0.995,0.0825,0,12.6,0,0,0,9.7
TN0000008,30001,DS2,HAA6Br,3.2,2.675,0,0,19.5,0,2.075,0,20.25
TN0000014,99001,206,HAA6Br,3.1175,1.2825,1.45,2.1075,2.57,0.585,0,0,0.765
TN0000022,30001,DS2,HAA6Br,2.25,2.3,0,0,16.75,0,1.25,0,19.175
TN0000024,99001,101,HAA6Br,2.175,1.55,0.2475,0.0925,16.75,0,0,0,15.875
TN0000038,30001,DS1,HAA6Br,1.45975,0.8775,0.10525,0,11.608875,0,0,0,7.29075
TN0000056,99001,202,HAA6Br,2.34,2.4475,0.2975,0,11.0725,0,0,0,12.03
TN0000058,99001,208,HAA6Br,1.95,2.125,0.1975,0,22.4,0,2.525,0,28.425
TN0000069,99001,211,HAA6Br,2.7825,2.3575,0.338,0.21975,19.3,0,0,0,15.475
TN0000073,3,DS02,HAA6Br,1.745,2.5425,0,0,18.675,0,0.5075,0,29.35
TN0000080,99001,201,HAA6Br,1.275,0,0.16,0.645,0.815,0,0,0,0
TN0000097,3,6,HAA6Br,2.54,2.5825,0.165,0,23.7,0,0,0,24.55
TN0000107,99001,222,HAA6Br,2.525,3.325,0.0975,0.1175,11.1,0.08,0,0,16.5
TN0000108,99001,101,HAA6Br,2.625,1.575,0.1775,0,30.325,0,2.075,0,19.425
TN0000109,99001,203,HAA6Br,6.225,6.875,3.075,2.175,9.225,0.4,0,0,8.875
TN0000113,99001,203,HAA6Br,2.8,2.866666667,0.1,0,21.66666667,0,0.733333333,0,23.56666667
TN0000116,99001,213,HAA6Br,2.405,2.285,0.1075,0.8075,15.4,0,0,0.57,14.3
TN0000117,99001,208,HAA6Br,2.135,2.23,0,0.53,20.8,0,0,0,31.225
TN0000120,5535,00001DS4,HAA6Br,4.6425,1.42,0.075,0,13.8075,0,0,0,17.36
TN0000126,99001,201,HAA6Br,0.165,0.3,0.17,0.425,0.26,0,0,0,0
TN0000128,99001,207,HAA6Br,1.825,2,0.1225,0,12.675,0.5475,0,0,12.05
TN0000133,99001,104,HAA6Br,2.34825,1.20375,0.34875,0.11175,20.919375,0.13425,0.574,0,9.92925
TN0000144,99001,203,HAA6Br,0.67,0.565,0.495,0.495,0.98,0,0,0,0.255
TN0000147,99001,211,HAA6Br,2.6525,2.7425,0.33,0.0775,14.325,0.235,0,0,13.3
TN0000150,99001,205,HAA6Br,2.1,1.75,0.1725,0,18.275,0,0.65,0,14.775
TN0000159,99001,206,HAA6Br,2.366666667,1.323333333,0.276666667,0,24.33333333,0,2.2,0,15.86666667
TN0000167,99001,201,HAA6Br,2.575,2.525,0.4175,0,23.175,0,0.775,0,20.675
TN0000169,99001,205,HAA6Br,2.356666667,2.47,0.32,0,12.96666667,0,0.866666667,0,16.66666667
TN0000174,99001,204,HAA6Br,3.95,3.075,0.4175,0.385,24.7,0.25,0.55,0,22.85
TN0000188,2,DBP02,HAA6Br,1.466666667,1.4,0,0,34.7,0,3.833333333,0,33.23333333
TN0000191,99001,104,HAA6Br,2.5,2.45,0.46,0.2,18.2,0,1.2,0,17.2
TN0000201,99001,202,HAA6Br,0.815,0,0.17,0.385,1.25,0,0,0,0.36
TN0000211,99001,101,HAA6Br,1.165,0.315,0.35,0.5,2.05,0,0,0,0.83
TN0000218,99001,202,HAA6Br,3.15,2.925,0.12,0.1,20.2,0,0.65,0,21.4
TN0000219,99001,101,HAA6Br,2.4975,2.9275,0.53075,0.4585,12.1075,0.32125,0,0,12.01
TN0000221,99001,102,HAA6Br,1.2375,0.555,0,0.09,5.995,0,0,0,5.885
TN0000231,99001,202,HAA6Br,0.705,0.32,0.185,0.08,1.6175,0,0,0,0.45
TN0000233,99001,206,HAA6Br,1.8715,1.53725,0.107,0.24125,16.95075,0.48775,0,0,18.5895
TN0000242,4,DS01,HAA6Br,5.165,5.1225,0.7775,0.5175,19.575,0,0,0,21.375
TN0000244,99001,209,HAA6Br,2.0275,2.7,0.245,0,15.725,0.395,5.2,0.5,20.975
TN0000246,99001,214,HAA6Br,3.1,2.7,0.515,0.425,14.7,0,0,0,11
TN0000247,99001,204,HAA6Br,2.6475,4.1625,0.455,0.40525,12.285,0.91775,1.3475,0,18.15
TN0000249,30001,DS1,HAA6Br,2.5475,2.02525,0,0,24.8375,0.52,0.575,0,33.29125
TN0000253,99001,204,HAA6Br,2.025,2.475,0.23,0,16.3,0,0.575,0,18.425
TN0000261,30001,DS2,HAA6Br,2.925,2.35,0.455,0.38,10.35,0.095,1.15,0,7.6
TN0000262,99001,203,HAA6Br,0.55,0.31,0.26,0.715,0.365,0,0,0,0
TN0000264,99001,104,HAA6Br,3.225,3.525,0.565,0.2675,18.45,0.405,0,0,23.175
TN0000266,99001,204,HAA6Br,2.1,1.675,0.095,0,18.025,0.0875,0,0,16.325
TN0000271,30001,DS1,HAA6Br,2.875,3.175,0.47,0.0875,12.525,0.1275,0.675,0,16.5
TN0000273,3,207,HAA6Br,1.475,1.1425,0.0925,0,8.625,0,0,0,8.875
TN0000274,30001,DS2,HAA6Br,1.733,1.976,0,0,16.7545,0,0.6,1.687,23.0915
TN0000280,99001,210,HAA6Br,3.65,2.675,0.3375,0.2075,22.075,0.0975,2.05,0,17.7
TN0000286,3,5,HAA6Br,2.7625,2.895,0.29425,0.12775,14.9125,0,0.9125,0,13.375
TN0000287,99001,204,HAA6Br,3.2535,2.78025,0.29825,0.2225,22.0615,0.24975,1.59725,0,17.10475
TN0000294,99001,206,HAA6Br,1.65,2.025,0.1925,0,9.95,0,0,0,13.2
TN0000299,3,DS2,HAA6Br,1.2,0.36,0.46,0.825,2.395,0,0,0,0.25
TN0000303,99001,201,HAA6Br,0.73,0,0,0.205,0.9,0,0,0,0.285
TN0000314,99001,203,HAA6Br,0.425,0,0,0.3,0.54,0,0,0,0
TN0000316,30001,DS1,HAA6Br,0.31,0,0,0,0.13,0,0,0,0
TN0000318,99001,204,HAA6Br,1.745,1.345,0.115,0,12.5125,0,0,0,10.8125
TN0000322,99001,203,HAA6Br,2,2.25,0,0,17.85,0,2.3,0,20.85
TN0000331,99001,209,HAA6Br,1.3,1.55,0.3125,0,8.4,0,0.525,0,10.05
TN0000338,99001,104,HAA6Br,1.725,1.8,0.0875,0,20.5,0,0,0,25.325
TN0000349,99001,211,HAA6Br,3.125,3.375,0,0,21.75,0.25,0.8,0,27.5
TN0000366,99001,219,HAA6Br,5.545,4.85,1.25675,1.0235,15.225,0.42675,1.3175,0,14.225
TN0000367,99001,203,HAA6Br,5.4,4.8,0.7,0.55,28.6,0.39,4.3,0,25.2
TN0000369,99001,214,HAA6Br,4.56,4.565,0.915,0.5775,17.575,0.075,0.55,0,17.8
TN0000371,99001,204,HAA6Br,2.12,2.8175,0.08125,0,18.57,0,0.8475,0,26.525
TN0000373,99001,206,HAA6Br,2.7625,2.93,0.505,0.275,11.625,0,0,0,12.725
TN0000374,3,212,HAA6Br,2.0125,2.9675,0.0835,0,19.9,0,1.2,0,28.075
TN0000386,99001,212,HAA6Br,2.725,2.825,0.3925,0.105,13.875,0,0.775,0,15.375
TN0000392,99001,101,HAA6Br,2.545,2.5825,0.2475,0.2075,9.9675,0,0,0,17.075
TN0000393,99001,207,HAA6Br,2.2,2.8,0.33,0.1025,15.575,0,1.025,0,14.95
TN0000394,30001,DS2,HAA6Br,2.425,3.075,0.1925,0,12.875,0.085,0.575,0,19
TN0000396,99001,211,HAA6Br,4.266666667,4.366666667,0.89,0.406666667,16.36666667,0.233333333,0,0,16.63333333
TN0000400,99001,204,HAA6Br,2.225,2.8,0.09,0,14.375,0,0,0,19.25
TN0000402,99001,206,HAA6Br,2.5575,2.025,0,0,21.275,0,0,0,20.425
TN0000405,99001,204,HAA6Br,1.49,2.38,0,0,16.475,0,0.58,0,23.375
TN0000409,99001,106,HAA6Br,2.89,4.2925,0.7825,0.23,10.2725,1.5125,1.9675,0.505,13.45
TN0000423,99001,205,HAA6Br,1.8625,2.175,0.2425,0,24.725,0,2.05,0,24.575
TN0000424,99001,206,HAA6Br,2.866666667,2.766666667,0.126666667,0,19.83333333,0,2,0,21.3
TN0000425,99001,101,HAA6Br,2.15,1.3925,0.1025,0,15.5,0,0.7,0,13.75
TN0000428,99001,207,HAA6Br,2.84,4.0475,0.523,0.354,13.155,0.106,1.0825,0,15.05
TN0000429,99001,204,HAA6Br,1.4925,1.675,0.08,0.0975,7.55,0.0775,0,0,8.7
TN0000435,99001,203,HAA6Br,0.47,0.27,0.18,0.155,0.7,0,0,1.1,0
TN0000438,99001,208,HAA6Br,0.915,1.275,0.1725,0,8.725,0,0.7,0,9.7
TN0000450,99001,204,HAA6Br,0.535,0.335,0.785,0,0.18,0,0,0,0
TN0000458,99001,203,HAA6Br,0.94,0,0,0.625,1.01,0,0,0,0
TN0000474,99001,207,HAA6Br,3.35,1.55,1.4925,2.1325,2.875,0.7575,0,0,0.74
TN0000479,99001,203,HAA6Br,0.6285,0.5925,0,0,3.2075,0,0,0,2.1255
TN0000491,99001,DS6,HAA6Br,3.3475,2.79,0.24,0.1275,21.4325,0,0,0,23.675
TN0000494,99001,210,HAA6Br,2.71525,3.13075,0.277,0,15.8085,0.1745,0,0,15.21675
TN0000500,99001,210,HAA6Br,2.375,1.7025,0.5525,0.1675,11.925,0,0.65,0,7.925
TN0000511,99001,205,HAA6Br,4.015,2.63,0.4875,1.1875,12.0975,0,0,0,14.1
TN0000514,99001,207,HAA6Br,2.9475,2.8275,0,0,25.425,0.3775,0.5775,0,26.775
TN0000515,99001,205,HAA6Br,6.375,6.75,2.25,1.6575,13.475,0.7775,1.525,0,9.7
TN0000517,99001,205,HAA6Br,3.275,4.2,0.475,0.0925,22.525,0.095,2.125,0,27.525
TN0000521,99001,204,HAA6Br,0,0.315,0,0,0.26,0,0,0,0
TN0000522,99001,205,HAA6Br,1.825,2.05,0.125,0,11.275,0,0,0,13.7
TN0000525,99001,202,HAA6Br,2.2125,1.9365,0.5695,0.75725,6.6475,0.07975,0,0,4.6925
TN0000531,99001,205,HAA6Br,2.65,2.725,0.41,0.19,18.05,0,1.4,0,18.9
TN0000532,99001,208,HAA6Br,2.1325,1.03,0,0.96,9.49,0,0,0,13.9325
TN0000536,99001,201,HAA6Br,0.655,0,0,0.5,1.09,0,0,0,0
TN0000540,30001,DS1,HAA6Br,0.165,0,0,0,0.665,0,0,0,0
TN0000548,99001,112,HAA6Br,1.2225,1.7,0.1975,0,9.9,0,0,0,15.675
TN0000558,99001,208,HAA6Br,3.2,3.1,0.66,0.485,13.75,0.185,0,0,10.95
TN0000559,99001,104,HAA6Br,3.133333333,3.633333333,0.53,0.15,17.3,0.2,0,0,22.16666667
TN0000562,99001,207,HAA6Br,2.125,2.3025,0.1175,0,21.25,0,0,0,22.725
TN0000578,30001,DS1,HAA6Br,2.425,1.375,0.35,0.235,15.825,0,0.625,0,9
TN0000581,99001,101,HAA6Br,2.7,1.9,0.85,0.92,6,0,0,0,2.8
TN0000584,30001,DS1,HAA6Br,0.415,0.315,0.21,0,0.395,0,0,0,0
TN0000590,99001,204,HAA6Br,3.4,3.8,0.84,0.44,18.55,0,2.05,0,15.35
TN0000593,99001,101,HAA6Br,2.4,2.425,0.33,0.1675,22.65,0.22,1.65,0,23.775
TN0000598,99001,111,HAA6Br,1.53,1.2175,1.115,1.11,1.2675,0,0,0.575,0.48
TN0000611,99001,201,HAA6Br,3.8,3,1.9,1.85,7.25,0.235,0,0,2.85
TN0000613,99001,202,HAA6Br,2.4725,1.90275,0.2705,0.344,6.44,0,0,0,6.355
TN0000615,99001,204,HAA6Br,0.545,0.3,0,0.175,0.875,0,0,0,0
TN0000617,99001,216,HAA6Br,2.915,1.84275,0.16575,0.26375,22.7,0,1.075,0,14.86
TN0000626,99001,210,HAA6Br,6.1325,6.2425,1.47475,1.5915,18.5275,0.8575,10.67,0,15.1225
TN0000628,99001,206,HAA6Br,2.73,1.4375,0.0825,1.0925,11.85,3.1,0,0,14.625
TN0000636,30001,DS2,HAA6Br,2.523,2.6985,0,0,17.5445,0.1275,0.775,1.3775,18.1815
TN0000639,99001,203,HAA6Br,2.34,2.6725,0.385,0.2915,9.805,0.245,0,0,10.0975
