PWSID,FacilityID,SamplePointID,HAA.Group,BCAA,BDCAA,DBCAA,DBAA,DCAA,MBAA,MCAA,TBAA,TCAA
AL0000945,99001,DS002,HAA5,3,2.025,0.31,0.135,20.325,0,0.775,0,15.05
AL0000951,99200,DB201,HAA5,2.875,1.575,0.4475,0.6025,6.725,0.2575,0,0,5.15
AL0000967,99001,DS002,HAA5,3.95,3.1,1.03,0.785,9.35,0.7,0,0,9.25
AL0001002,99001,DS002,HAA5,7.87,11.45,6.295,3.82,8.71,0.493,0,0,13.35
AL0001005,90106,SITE04,HAA5,3.5625,3.25,0.356,0.1015,19.775,0,1.4325,0,14.3325
AL0001015,1,SITE04,HAA5,4.033333333,3,0.556666667,0.206666667,22.16666667,0,0.766666667,0,11.86666667
AL0001021,99001,DS003,HAA5,0.372,0,0,0.207,0.2615,0,0,0,0
AL0001070,1070,S2006,HAA5,3.56275,1.9355,0.43775,0.32425,17.864625,0.22525,2.50525,0,8.9925
AL0001078,99200,DB202,HAA5,0.91,0.47,0,1.225,0.615,0,1.5,0,0.9
AL0001084,99001,DS006,HAA5,3.325,3.75,0.695,0.2875,15.975,0.1325,0,0,13.7
AL0001086,7235,DS001,HAA5,3.85,4.35,0.7825,0.43,14.325,0.08,0,0,14.5
AL0001088,20171,DS3,HAA5,3.25,2.825,0.385,0.175,21.15,0,2.325,0,22.075
AL0001092,99001,DS001,HAA5,2.7575,1.4935,0.94525,1.5425,3.115,0.168,0,0,1.1545
AL0001100,99200,DB202,HAA5,0.535,0,0,0,0.79,0,0,0,0.73
AL0001106,1,DS01,HAA5,1.7,1.85,1.65,1.15,1.35,1.45,0,0,1.15
AL0001120,90114,DS1,HAA5,1.165,0,0.2345,0.611,2.075,0,0,0,0
AL0001124,1124,1,HAA5,1.148,0.26,0,0.609,2.125,0,0,0,0
AL0001137,99001,DS002,HAA5,0.71,0.355,0.18,0.45,1.5,0,0,0,0.385
AL0001142,30001,S31,HAA5,5.3475,2.4025,0.588,1.0025,17.125,0.45875,2.175,0,9.06
AL0001145,99001,DS002,HAA5,4.7,2.425,0.8175,1.025,12.575,0.3025,0.8,0,6.75
AL0001148,99001,DS002,HAA5,2.78,2.3725,0.4435,0.465,13.6,0.47925,1.23,0,10.575
AL0001150,99001,DS001,HAA5,1.275,1.3775,0.495,0.0975,3.675,0,0,0,3.25
AL0001151,30001,DBP3,HAA5,0.76,0.665,0.175,0.16,2.85,0,0,0,0.76
AL0001157,99001,DS003,HAA5,4.5,1.875,0.6725,0.5575,22.45,0.3425,1.225,0,7.075
AL0001163,90113,DS01,HAA5,3.5725,2.83,0.59,0.48,13.425,0,1.25,0,12.105
AL0001203,30002,301,HAA5,2.866666667,3.033333333,0.703333333,0.4,11.93333333,0,0.933333333,0,10.66666667
AL0001204,90106,DS002,HAA5,2.666666667,3.033333333,0.533333333,0.183333333,13.33333333,0.133333333,0.833333333,0,12.23333333
AL0001222,99001,DS001,HAA5,0,0.25,0,0.322,0,0,0,0,0
AL0001258,90107,DS05,HAA5,1.2575,1.445,0,0,17.7525,0,0.7425,0,27.7
AL0001260,99001,DS04,HAA5,2.125,1.4775,0.09,0,15.5,0,1.25,0,13.575
AL0001265,99001,DS002,HAA5,3.16,1.3325,0.1855,0.1075,19.825,0,1.97,0,6.125
AL0001288,99200,DB201,HAA5,3.575,0.8125,0,0,24,0,3.4,0,7.425
AL0001293,99001,DS001,HAA5,2.85,1.9,0.1275,0.0825,16.425,0.14,1.55,0,15.65
AL0001307,90109,DS03,HAA5,3.1,2.25,0.3725,0.1875,28.925,0,1.775,0,23.925
AL0001313,99001,DS005,HAA5,3.745,2.3925,0.1805,0.28075,21.025,0.1175,1.1125,0,20.525
AL0001336,99001,DS001,HAA5,2.64,0.706666667,0,0.1,22.4,0,0,0,7.366666667
AL0001411,99001,DS002,HAA5,2.5425,0.8425,0,0,21.7,0,0.675,0,8.505
AL0001422,99001,DS001,HAA5,3.033333333,3.5,0.456666667,0.19,14.46666667,0,0,0,16
AL0001432,99001,DS003,HAA5,3.5325,0.95525,0.1025,0.281,23,0.0875,3.79,0,5.54
AL0001489,99001,DS001,HAA5,0.44,0,0,0.5,0.8,0,0,0,0
AL0001507,99001,DS001,HAA5,1.37,0.291,0.6265,6.18,0.199,0.7725,0,3.14,0
AL0001512,99200,DB201,HAA5,0,0,0,0,0.68,0,0,0,0
AL0001516,99200,DB201,HAA5,0.61,0.25,0,0,1.23,0,0,0,1.255
AL0001540,99001,DS004,HAA5,4.233333333,2.71,0.23,0.346666667,31.73333333,0,1.966666667,0,24.7
AL0001671,99001,DS002,HAA5,4.2325,3.44,0.3215,0.39275,20.75,0.14925,1.8325,0,23.425
AL0001716,99200,DB203,HAA5,1.45,2.275,0,0,17.325,0,0.625,0,25
AL0001783,99001,DS002,HAA5,0.96875,0.75325,0.44675,0.50025,1.8,0,0,0,0.8415
AL0001786,99001,DS002,HAA5,3.7425,1.7925,0.0875,0.1905,23.7,0.28525,2.42,0,11.35
AL0001796,90001,SITE1,HAA5,5.266666667,4.5,0.846666667,0.346666667,49.7,0.22,9.2,0,18.4
AR0000002,5,2005,HAA5,0,0,0,0,0.27,0,0,0,0
AR0000004,24,4024,HAA5,0.5815,0,0.3425,1.634,0.2415,0.1775,0,0,0
AR0000025,14,25014,HAA5,2.49125,2.572,0.73375,0.188,24.31225,0.27075,2.71475,0,18.198
AR0000039,18,39018,HAA5,2.01375,2.2835,0.46775,0,19.06725,0.21475,1.85325,0,20.89925
AR0000041,11,41011,HAA5,2.4915,1.75375,0.57,0.1955,21.75825,0.27425,3.08075,0,12.089
AR0000044,7,44007,HAA5,2.320666667,2.516666667,0.122666667,0,22.95566667,0.1,2.566333333,0,20.865
AR0000055,14,55014,HAA5,2.64275,1.84925,0.633,0.165,24.14625,0.12875,3.358,0,12.12275
AR0000056,12,56012,HAA5,4.40675,4.11,1.101,0.95825,13.6525,0.68375,1.34375,0,11.3235
AR0000062,7,62007,HAA5,1.137666667,1.586333333,1.051,0,15.16775,0.07525,0.53025,0,16.536
AR0000085,15,85015,HAA5,1.478,3.111,0.11275,0,12.0365,0,0.542,0,25.14875
AR0000090,5,90005,HAA5,0.5,0,0.26,1.15,0.165,0.25,0,1.05,0
AR0000101,16,101016,HAA5,2.09675,1.38675,0,0,22.68625,0,2.08325,0,16.39075
AR0000104,20,104020,HAA5,1.3345,1.9745,0.16125,0,11.56175,0,0,0,17.5565
AR0000109,19,109019,HAA5,2.802,3.77525,1.21325,0.87,6.23525,0,0,0,7.22525
AR0000119,19,119019,HAA5,2.0745,2.1185,0.27,0,14.9445,0.17775,0.60825,0,15.4325
AR0000124,25,124025,HAA5,0.3255,0,0.536,1.643,0.1525,0,0,0,0
AR0000142,8,142008,HAA5,2.279333333,2.647333333,0.629333333,0.322666667,13.32766667,0.128333333,0.744666667,0,11.936
AR0000152,14,152014,HAA5,0.786,0.313,0,0,3.2625,0,0,0,1.808
AR0000156,16,156016,HAA5,0.45,0.278,0.166,0,1.355,0,0,0,1.0975
AR0000184,9,184009,HAA5,0.5455,0.688,0.3315,0,1.663,0.195,0,0,1.914
AR0000185,6,185006,HAA5,2.279,1.993666667,0.998,0,17.348,0.27525,2.286,0,11.8445
AR0000189,25,189025,HAA5,2.665,2.181,0.51725,0.07775,19.31975,0.65725,3.74875,0,11.316
AR0000195,26,195026,HAA5,1.55425,1.15475,0,0,12.2,0.08375,1.29575,0,13.31075
AR0000208,3,208003,HAA5,1.9805,2.17775,0.154,0,18.003,0,1.17525,0,18.025
AR0000209,37,209037,HAA5,1.582666667,1.772,0.597333333,0,18.05766667,0.238333333,1.719333333,0,18.44866667
AR0000217,30001,217005,HAA5,1.6,2.2,0,0,15.5,0,2.125,0,21.25
AR0000222,4,222004,HAA5,1.001,0.9095,0.4815,0.3535,2.351,0,0,0,1.553
AR0000230,26,230026,HAA5,7.808,3.46975,0.7975,2.01375,31.5905,1.3175,4.77775,0,12.97
AR0000237,14,237014,HAA5,1.56575,2.22975,0.102,0,13.516,0,1.1675,0,15.40425
AR0000250,25,250025,HAA5,2.567,2.298,0.32125,0.1835,14.1255,0.0815,1.2325,0,10.8115
AR0000265,3,265003,HAA5,2.8,2.85,2.15,1.55,2.2,0,0,0,2.05
AR0000272,7,272007,HAA5,0,0,0,0,0.4025,0,0,0,0
AR0000279,5,279005,HAA5,0.32,0.285,0.195,0.16,0.705,0,0,0,0.255
